"x"
"1" "WINTER STORM"
"2" "TORNADO"
"3" "TSTM WIND"
"4" "HAIL"
"5" "HIGH WIND"
"6" "HEAVY RAIN"
"7" "FLASH FLOOD"
"8" "FREEZING RAIN"
"9" "EXTREME COLD"
"10" "EXCESSIVE HEAT"
"11" "LIGHTNING"
"12" "FUNNEL CLOUD"
"13" "EXTREME WINDCHILL"
"14" "BLIZZARD"
"15" "URBAN/SML STREAM FLD"
"16" "FLOOD"
"17" "TSTM WIND/HAIL"
"18" "WATERSPOUT"
"19" "RIP CURRENTS"
"20" "HEAVY SNOW"
"21" "OTHER"
"22" "RECORD DRY MONTH"
"23" "TEMPERATURE RECORD"
"24" "WILD/FOREST FIRE"
"25" "MINOR FLOODING"
"26" "ICE STORM"
"27" "STORM SURGE"
"28" "ICE JAM FLOOD (MINOR"
"29" "DUST STORM"
"30" "STRONG WIND"
"31" "DUST DEVIL"
"32" "DROUGHT"
"33" "DRY MICROBURST"
"34" "FOG"
"35" "ROUGH SURF"
"36" "WIND"
"37" "THUNDERSTORMS"
"38" "HEAVY SURF"
"39" "WIND DAMAGE"
"40" "MARINE ACCIDENT"
"41" "SNOW"
"42" "AVALANCHE"
"43" "FREEZE"
"44" "TROPICAL STORM"
"45" "SNOW SQUALLS"
"46" "COASTAL FLOODING"
"47" "WINDS"
"48" "COASTAL FLOOD"
"49" "COASTAL STORM"
"50" "COASTALFLOOD"
"51" "EROSION/CSTL FLOOD"
"52" "HEAVY RAIN AND WIND"
"53" "LIGHT SNOW/FLURRIES"
"54" "WET MONTH"
"55" "WET YEAR"
"56" "TIDAL FLOODING"
"57" "RIVER FLOODING"
"58" "DAMAGING FREEZE"
"59" "HURRICANE"
"60" "BEACH EROSION"
"61" "HOT AND DRY"
"62" "FLOOD/FLASH FLOOD"
"63" "ICY ROADS"
"64" "HIGH SURF"
"65" "HEAVY RAIN/HIGH SURF"
"66" "THUNDERSTORM WIND"
"67" "RAIN DAMAGE"
"68" "ICE JAM"
"69" "UNSEASONABLE COLD"
"70" "EARLY FROST"
"71" "WINTRY MIX"
"72" "BLOWING SNOW"
"73" "STREET FLOODING"
"74" "RECORD COLD"
"75" "ICE FOG"
"76" "EXCESSIVE COLD"
"77" "TORRENTIAL RAINFALL"
"78" "LANDSLUMP"
"79" "LATE-SEASON SNOWFALL"
"80" "HURRICANE EDOUARD"
"81" "HEAVY RAIN/WIND"
"82" "WINTER WEATHER"
"83" "STRONG WINDS"
"84" "RECORD WARM TEMPS."
"85" "ICE/SNOW"
"86" "MUDSLIDE"
"87" "GLAZE"
"88" "EXTENDED COLD"
"89" "SNOW ACCUMULATION"
"90" "FREEZING FOG"
"91" "DRIFTING SNOW"
"92" "WHIRLWIND"
"93" "HEAVY SNOW SHOWER"
"94" "LATE SNOW"
"95" "RECORD MAY SNOW"
"96" "RECORD WINTER SNOW"
"97" "HEAVY PRECIPITATION"
"98" "RECORD TEMPERATURE"
"99" "LIGHT SNOW"
"100" "LATE SEASON SNOWFALL"
"101" "GUSTY WIND"
"102" "SMALL HAIL"
"103" "MIXED PRECIP"
"104" "BLACK ICE"
